"facet_id","facet_id","count"
1,1,896647
2,1,161400
3,1,477265
4,1,121
5,1,2
1,2,305823
2,2,43010
3,2,193660
4,2,107
1,3,286267
2,3,80222
3,3,30865
4,3,120
5,3,2
1,4,1111788
2,4,897202
3,4,78951
4,4,11290
5,4,245
1,5,218328
2,5,50589
3,5,13674
4,5,1146
5,5,6
1,6,290666
2,6,41856
3,6,17082
4,6,1325
5,6,58
1,7,271655
2,7,121406
3,7,2503
4,7,594
5,7,15
1,8,17622
2,8,168184
3,8,202507
4,8,6
5,8,1287
1,9,4223
2,9,20270
3,9,51459
5,9,611
1,10,312042
2,10,35499
3,10,162715
4,10,107
1,11,151146
2,11,148580
3,11,3402
4,11,6
5,11,23
1,12,385242
2,12,110532
3,12,374097
4,12,107
1,13,171472
2,13,36675
3,13,116507
4,13,107
1,14,16931
2,14,150877
3,14,153534
4,14,6
5,14,907
1,15,234508
2,15,277770
3,15,1787
4,15,244
5,15,32
1,16,99124
2,16,110570
3,16,5482
5,16,26
1,17,54907
2,17,71430
3,17,8426
4,17,8
5,17,20
1,18,47378
2,18,42267
3,18,22485
4,18,4
5,18,33
1,19,170037
2,19,60632
3,19,155854
4,19,107
1,20,88123
2,20,32253
3,20,60238
4,20,107
1,21,57078
2,21,46265
3,21,11352
4,21,107
1,22,37726
2,22,33289
3,22,10643
4,22,107
1,23,114735
2,23,34180
3,23,95816
4,23,107
1,24,94178
2,24,56194
3,24,93724
4,24,107
1,25,67843
2,25,30237
3,25,56289
4,25,107
1,26,139837
2,26,32164
3,26,91733
4,26,107
1,27,240785
2,27,51307
3,27,5790
4,27,1132
5,27,37
1,28,111504
2,28,38613
3,28,96479
4,28,107
1,29,287833
2,29,43965
3,29,8160
4,29,7885
5,29,23
1,30,281774
2,30,36738
3,30,94052
4,30,108
1,31,40966
2,31,35872
3,31,38549
4,31,107
1,32,90993
2,32,41221
3,32,75568
4,32,107
1,33,3845
2,33,6926
3,33,633
4,33,107
1,34,3872
2,34,10473
3,34,734
4,34,107
1,35,8531
2,35,27162
3,35,1331
4,35,107
1,36,6597
2,36,18849
3,36,743
4,36,107
1,37,28076
2,37,22381
3,37,1802
4,37,107
1,38,3699
2,38,4214
3,38,419
4,38,107
1,39,3700
2,39,4363
3,39,423
4,39,107
1,40,3702
2,40,4046
3,40,443
4,40,107
1,41,3716
2,41,4116
3,41,555
4,41,107
1,42,3735
2,42,5128
3,42,1013
4,42,107
1,43,3784
2,43,5768
3,43,615
4,43,107
1,44,3817
2,44,7932
3,44,676
4,44,107
1,45,4088
2,45,23530
3,45,801
4,45,107
1,46,3884
2,46,14554
3,46,681
4,46,107
1,47,4062
2,47,17279
3,47,746
4,47,107
1,48,8161
2,48,16941
3,48,1202
4,48,107
1,49,21792
2,49,28620
3,49,2660
4,49,107
1,50,12113
2,50,17994
3,50,1892
4,50,107
1,51,16909
2,51,19472
3,51,1607
4,51,107
2,52,1667
3,52,7
2,53,6509
3,53,16
2,54,1509
3,54,6
1,55,115
2,55,2848
3,55,404
4,55,107
1,56,136
2,56,2768
3,56,407
4,56,107
1,57,129
2,57,2206
3,57,412
4,57,107
1,58,128
2,58,2668
3,58,413
4,58,107
2,59,1975
3,59,6
2,60,408
3,60,1
2,61,830
3,61,1
2,62,2129
3,62,6
2,63,827
3,63,6
2,64,559
3,64,5
2,65,827
3,65,1
2,66,636
3,66,8
2,67,299
3,67,1
2,68,203
3,68,3
2,69,669
3,69,8
2,70,144
3,70,1
2,71,446
3,71,1
2,72,280
3,72,4
2,73,561
3,73,23
2,74,147
2,75,193
3,75,1
2,76,7
2,77,1337
3,77,8
2,78,149
2,79,83
2,80,37
2,81,160
2,82,153
2,83,173
3,83,25
2,84,103
2,85,216
3,85,1
2,86,39
2,87,76
3,87,2
2,88,40
2,89,30
2,90,13
2,91,7
2,92,21
2,93,44
3,93,3
2,94,27
2,95,35
2,96,12
2,97,3
2,98,7
2,99,9
2,100,1
2,101,3
