"typeId","timeId","count"
1,1,896647
1,2,305823
1,3,286267
1,4,1111788
1,5,218328
1,6,290666
1,7,271655
1,8,17622
1,9,4223
1,10,312042
1,11,151146
1,12,385242
1,13,171472
1,14,16931
1,15,234508
1,16,99124
1,17,54907
1,18,47378
1,19,170037
1,20,88123
1,21,57078
1,22,37726
1,23,114735
1,24,94178
1,25,67843
1,26,139837
1,27,240785
1,28,111504
1,29,287833
1,30,281774
1,31,40966
1,32,90993
1,33,3845
1,34,3872
1,35,8531
1,36,6597
1,37,28076
1,38,3699
1,39,3700
1,40,3702
1,41,3716
1,42,3735
1,43,3784
1,44,3817
1,45,4088
1,46,3884
1,47,4062
1,48,8161
1,49,21792
1,50,12113
1,51,16909
1,55,115
1,56,136
1,57,129
1,58,128
2,1,161400
2,2,43010
2,3,80222
2,4,897202
2,5,50589
2,6,41856
2,7,121406
2,8,168184
2,9,20270
2,10,35499
2,11,148580
2,12,110532
2,13,36675
2,14,150877
2,15,277770
2,16,110570
2,17,71430
2,18,42267
2,19,60632
2,20,32253
2,21,46265
2,22,33289
2,23,34180
2,24,56194
2,25,30237
2,26,32164
2,27,51307
2,28,38613
2,29,43965
2,30,36738
2,31,35872
2,32,41221
2,33,6926
2,34,10473
2,35,27162
2,36,18849
2,37,22381
2,38,4214
2,39,4363
2,40,4046
2,41,4116
2,42,5128
2,43,5768
2,44,7932
2,45,23530
2,46,14554
2,47,17279
2,48,16941
2,49,28620
2,50,17994
2,51,19472
2,52,1667
2,53,6509
2,54,1509
2,55,2848
2,56,2768
2,57,2206
2,58,2668
2,59,1975
2,60,408
2,61,830
2,62,2129
2,63,827
2,64,559
2,65,827
2,66,636
2,67,299
2,68,203
2,69,669
2,70,144
2,71,446
2,72,280
2,73,561
2,74,147
2,75,193
2,76,7
2,77,1337
2,78,149
2,79,83
2,80,37
2,81,160
2,82,153
2,83,173
2,84,103
2,85,216
2,86,39
2,87,76
2,88,40
2,89,30
2,90,13
2,91,7
2,92,21
2,93,44
2,94,27
2,95,35
2,96,12
2,97,3
2,98,7
2,99,9
2,100,1
2,101,3
3,1,477265
3,2,193660
3,3,30865
3,4,78951
3,5,13674
3,6,17082
3,7,2503
3,8,202507
3,9,51459
3,10,162715
3,11,3402
3,12,374097
3,13,116507
3,14,153534
3,15,1787
3,16,5482
3,17,8426
3,18,22485
3,19,155854
3,20,60238
3,21,11352
3,22,10643
3,23,95816
3,24,93724
3,25,56289
3,26,91733
3,27,5790
3,28,96479
3,29,8160
3,30,94052
3,31,38549
3,32,75568
3,33,633
3,34,734
3,35,1331
3,36,743
3,37,1802
3,38,419
3,39,423
3,40,443
3,41,555
3,42,1013
3,43,615
3,44,676
3,45,801
3,46,681
3,47,746
3,48,1202
3,49,2660
3,50,1892
3,51,1607
3,52,7
3,53,16
3,54,6
3,55,404
3,56,407
3,57,412
3,58,413
3,59,6
3,60,1
3,61,1
3,62,6
3,63,6
3,64,5
3,65,1
3,66,8
3,67,1
3,68,3
3,69,8
3,70,1
3,71,1
3,72,4
3,73,23
3,75,1
3,77,8
3,83,25
3,85,1
3,87,2
3,93,3
4,1,121
4,2,107
4,3,120
4,4,11290
4,5,1146
4,6,1325
4,7,594
4,8,6
4,10,107
4,11,6
4,12,107
4,13,107
4,14,6
4,15,244
4,17,8
4,18,4
4,19,107
4,20,107
4,21,107
4,22,107
4,23,107
4,24,107
4,25,107
4,26,107
4,27,1132
4,28,107
4,29,7885
4,30,108
4,31,107
4,32,107
4,33,107
4,34,107
4,35,107
4,36,107
4,37,107
4,38,107
4,39,107
4,40,107
4,41,107
4,42,107
4,43,107
4,44,107
4,45,107
4,46,107
4,47,107
4,48,107
4,49,107
4,50,107
4,51,107
4,55,107
4,56,107
4,57,107
4,58,107
5,1,2
5,3,2
5,4,245
5,5,6
5,6,58
5,7,15
5,8,1287
5,9,611
5,11,23
5,14,907
5,15,32
5,16,26
5,17,20
5,18,33
5,27,37
5,29,23
